41.940,-87.645,4245,643,15.147
41.860,-87.630,898,136,15.145
41.939,-87.650,185,28,15.135
41.916,-87.677,3795,574,15.125
42.019,-87.674,853,129,15.123
41.920,-87.649,3757,568,15.118
41.934,-87.734,86,13,15.116
41.781,-87.596,86,13,15.116
41.958,-87.688,245,37,15.102
41.879,-87.669,212,32,15.094
41.902,-87.734,53,8,15.094
41.936,-87.644,1479,223,15.078
41.861,-87.657,922,139,15.076
41.795,-87.724,73,11,15.068
41.888,-87.765,73,11,15.068
41.788,-87.590,2191,330,15.062
41.970,-87.660,2158,325,15.060
42.002,-87.689,279,42,15.054
41.871,-87.641,525,79,15.048
41.805,-87.704,545,82,15.046
41.876,-87.629,2385,358,15.010
41.850,-87.641,220,33,15.000
41.860,-87.720,60,9,15.000
41.810,-87.663,107,16,14.953
41.789,-87.596,2108,315,14.943
41.770,-87.590,87,13,14.943
41.883,-87.627,1065,159,14.930
41.932,-87.642,1409,210,14.904
41.948,-87.829,54,8,14.815
42.010,-87.660,270,40,14.815
41.944,-87.649,4851,718,14.801
41.903,-87.678,2650,392,14.792
41.950,-87.714,352,52,14.773
41.930,-87.720,806,119,14.764
41.918,-87.702,1959,289,14.752
41.949,-87.649,5183,764,14.740
41.946,-87.659,346,51,14.740
41.954,-87.654,4425,651,14.712
41.788,-87.599,1360,200,14.706
41.900,-87.710,204,30,14.706
41.961,-87.745,415,61,14.699
41.940,-87.690,783,115,14.687
41.969,-87.658,1996,293,14.679
41.770,-87.570,150,22,14.667
41.839,-87.717,116,17,14.655
41.980,-87.700,116,17,14.655
41.838,-87.659,116,17,14.655
41.980,-87.650,2425,355,14.639
41.984,-87.696,205,30,14.634
41.831,-87.641,465,68,14.624
41.916,-87.635,9253,1352,14.611
41.850,-87.620,1309,191,14.591
41.924,-87.751,96,14,14.583
41.912,-87.688,247,36,14.575
41.896,-87.679,206,30,14.563
41.930,-87.730,261,38,14.559
41.943,-87.680,1491,217,14.554
41.944,-87.664,5640,820,14.539
41.890,-87.626,3323,483,14.535
41.968,-87.773,117,17,14.530
41.835,-87.626,1115,162,14.529
41.946,-87.757,186,27,14.516
41.930,-87.766,62,9,14.516
41.946,-87.656,875,127,14.514
41.860,-87.660,786,114,14.504
41.960,-87.750,138,20,14.493
41.900,-87.620,9501,1375,14.472
41.950,-87.660,7502,1080,14.396
42.050,-87.678,2517,362,14.382
41.931,-87.639,4290,615,14.336
42.019,-87.690,363,52,14.325
41.952,-87.677,1405,201,14.306
41.945,-87.654,944,135,14.301
41.991,-87.697,56,8,14.286
41.970,-87.740,112,16,14.286
41.949,-87.653,56,8,14.286
41.917,-87.735,189,27,14.286
41.955,-87.671,154,22,14.286
41.930,-87.790,63,9,14.286
41.955,-87.651,154,22,14.286
41.900,-87.720,91,13,14.286
41.931,-87.644,4080,582,14.265
41.920,-87.700,1819,259,14.239
41.891,-87.627,8960,1275,14.230
41.887,-87.622,3836,544,14.181
41.909,-87.677,3301,468,14.178
41.950,-87.680,1531,217,14.174
41.949,-87.655,5645,800,14.172
41.943,-87.687,847,120,14.168
41.972,-87.709,106,15,14.151
41.950,-87.640,3902,552,14.147
41.810,-87.620,99,14,14.141
41.886,-87.624,8181,1156,14.130
41.963,-87.685,1736,245,14.113
42.053,-87.673,1106,156,14.105
41.831,-87.633,910,128,14.066
41.760,-87.660,57,8,14.035
41.790,-87.580,670,94,14.030
41.874,-87.726,100,14,14.000
41.961,-87.736,300,42,14.000
41.940,-87.660,4086,572,13.999
41.999,-87.671,996,139,13.956
41.790,-87.689,129,18,13.953
41.980,-87.670,3025,422,13.950
41.914,-87.683,3140,438,13.949
41.850,-87.690,294,41,13.946
41.895,-87.706,208,29,13.942
41.990,-87.660,3642,506,13.893
41.966,-87.782,144,20,13.889
41.788,-87.588,612,85,13.889
41.953,-87.758,274,38,13.869
41.954,-87.750,260,36,13.846
41.895,-87.618,4095,567,13.846
41.925,-87.689,970,134,13.814
41.930,-87.700,1484,205,13.814
42.013,-87.709,210,29,13.810
41.960,-87.680,1507,208,13.802
41.838,-87.651,1038,143,13.776
41.862,-87.693,211,29,13.744
41.806,-87.592,313,43,13.738
41.978,-87.660,1929,265,13.738
41.690,-87.610,51,7,13.725
41.855,-87.676,913,125,13.691
41.929,-87.708,3395,464,13.667
41.923,-87.656,300,41,13.667
41.960,-87.740,227,31,13.656
41.950,-87.750,154,21,13.636
